2024-06-23 21:51:29 - Order events [contract=BTCUSDT, order_id=4045036417, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:51:33 - Order events [contract=BTCUSDT, order_id=4045036437, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:51:37 - Order events [contract=BTCUSDT, order_id=4045036440, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:51:48 - Order events [contract=BTCUSDT, order_id=4045036468, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:51:49 - Order events [contract=BTCUSDT, order_id=4045036470, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:51:53 - Order events [contract=BTCUSDT, order_id=4045036485, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:52:01 - Order events [contract=BTCUSDT, order_id=4045036507, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65550.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:52:03 - Order events [contract=BTCUSDT, order_id=4045036525, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65550.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:52:05 - Order events [contract=BTCUSDT, order_id=4045036527, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65550.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:52:08 - Order events [contract=BTCUSDT, order_id=4045036529, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65550.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:52:09 - Order events [contract=BTCUSDT, order_id=4045036543, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65419.5, last_filled_qty=0.016, canceled_reason=None]
2024-06-23 21:52:48 - Order events [contract=BTCUSDT, order_id=4045036573, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65550.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:52:58 - Order events [contract=BTCUSDT, order_id=4045036588, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65419.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:53:06 - Order events [contract=BTCUSDT, order_id=4045036610, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:53:11 - Order events [contract=BTCUSDT, order_id=4045036619, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:53:35 - Order events [contract=BTCUSDT, order_id=4045036674, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:53:38 - Order events [contract=BTCUSDT, order_id=4045036681, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:54:50 - Order events [contract=BTCUSDT, order_id=4045036710, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:54:51 - Order events [contract=BTCUSDT, order_id=4045036758, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65419.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:55:38 - Order events [contract=BTCUSDT, order_id=4045036825, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:55:39 - Order events [contract=BTCUSDT, order_id=4045036831, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:55:46 - Order events [contract=BTCUSDT, order_id=4045036851, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:55:48 - Order events [contract=BTCUSDT, order_id=4045036853, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65599.8, last_filled_qty=0.001, canceled_reason=None]
2024-06-23 21:55:48 - Order events [contract=BTCUSDT, order_id=4045036853, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65735.5, last_filled_qty=0.001, canceled_reason=None]
2024-06-23 21:55:49 - Order events [contract=BTCUSDT, order_id=4045036856, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65735.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:55:59 - Order events [contract=BTCUSDT, order_id=4045036859, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:56:10 - Order events [contract=BTCUSDT, order_id=4045036867, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
