,Timestamp,Open,High,Low,Close,Date,%K,%D,Slow %K,Slow %D,isLocalPeak,isLocalTrough,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,MinutesSincePeak,MinutesSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv
40,2024-05-29 01:03:28,67694.01,67694.01,67694.0,67694.01,2024-05-29 01:03:28,0.0384467512293861,0.025631167486257402,0.025631167486257402,0.021359306238547832,True,False,Sell,67694.00600000001,67710.26062786259,0.9066868151738703,0,2,0.0,0.00999999999476131,False,False,-119.79999999894062,18200.00000006985
41,2024-05-29 01:03:29,67694.01,67694.01,67694.0,67694.01,2024-05-29 01:03:29,0.0384467512293861,0.0384467512293861,0.0384467512293861,0.02990302873396697,False,False,Hold,67694.008,67709.75,0.8692365834531302,1,3,0.0,0.00999999999476131,False,False,0.1999999993131496,11999.999999825377
42,2024-05-29 01:03:30,67694.01,67694.01,67694.0,67694.0,2024-05-29 01:03:30,0.0,0.025631167486257406,0.025631167486257406,0.02990302873396697,False,True,Buy,67694.006,67708.4495,0.8689081978909883,2,0,0.0,0.0,False,False,-0.20000000076834112,-40.00000000814907
43,2024-05-29 01:03:31,67694.01,67694.01,67694.0,67694.01,2024-05-29 01:03:31,0.0384467512293861,0.025631167486257402,0.025631167486257402,0.029903028733966972,True,False,Sell,67694.008,67707.1495,0.9066868151738703,0,1,0.0,0.0,False,False,0.20000000076834112,40.000000153668225
44,2024-05-29 01:03:32,67694.01,67694.01,67692.01,67692.01,2024-05-29 01:03:32,0.0,0.012815583743128701,0.012815583743128701,0.02135930623854784,False,True,Buy,67693.608,67705.7495,0.8081517919243595,1,0,0.0,0.0,False,False,-40.000000000873115,-4020.0000001641456
45,2024-05-29 01:03:33,67692.02,67692.02,67692.02,67692.02,2024-05-29 01:03:33,0.045475216049617295,0.02797398909300113,0.02797398909300113,0.02214024677412908,True,False,Sell,67693.21,67704.3505,1.0685663401199008,0,1,0.0,-1.9899999999906868,False,False,-39.79999999864958,20.000000222353265
46,2024-05-29 01:03:34,67692.01,67692.01,67692.01,67692.01,2024-05-29 01:03:34,0.0,0.015158405349872431,0.015158405349872431,0.018649326062000753,False,False,Hold,67692.81,67702.951,1.0776829815482785,1,2,-0.010000000009313226,-2.0,False,False,-40.000000000873115,-20.000000222353265
47,2024-05-29 01:03:35,67692.02,67692.02,67682.01,67683.03,2024-05-29 01:03:35,3.190491085405184,1.0786554338182672,1.0786554338182672,0.37392927608704696,False,False,Hold,67690.61600000001,67701.102,0.12882447663000107,2,3,0.0,-1.9899999999906868,False,False,-219.39999999885913,-17939.9999997986
48,2024-05-29 01:03:36,67683.03,67683.03,67683.02,67683.02,2024-05-29 01:03:36,4.0758676352274446,2.4221195735442094,2.4221195735442094,1.1719778042374498,False,False,Hold,67688.41799999999,67699.2525,0.1529051987523502,3,4,-8.990000000005239,-10.979999999995925,False,False,-219.800000001851,-40.00000029918738
49,2024-05-29 01:03:37,67683.02,67683.03,67683.02,67683.02,2024-05-29 01:03:37,5.614230127898939,4.293529616177189,4.293529616177189,2.5981015411798887,False,False,Hold,67686.62,67697.4035,0.23446658847385038,4,5,-9.0,-10.989999999990687,True,False,-179.7999999995227,4000.0000002328306
