,Timestamp,Open,High,Low,Close,Volume,Date,Daily_Change,Daily_Change_Open_to_Close,%K,%D,Slow %K,Slow %D,KalmanFilterEst,isLocalPeak,isLocalTrough,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,HurstExponent,MinutesSincePeak,MinutesSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,KalmanFilterEst_1st_Deriv,KalmanFilterEst_2nd_Deriv,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv,Long_Moving_Avg_1st_Deriv,Long_Moving_Avg_2nd_Deriv,DataAge,Weight
906,2024-04-14 15:06:00,64156.38,64156.39,64093.97,64107.03,27.36784,2024-04-14 15:06:00,-0.07692142231217058,0.0,89.05227670947274,92.6068737178229,92.6068737178229,89.03602267641482,64114.43679620274,False,False,Hold,64096.469999999994,63902.541000000005,74.76864163386804,0.5312191837394757,0,0,59.08999999999651,86.50999999999476,False,False,-1198.4448003779107,-604587.3313828633,1975.0,-156599.99999996217,2042.1999999998661,76924.9999999738,16,0.44932896411722156
921,2024-04-14 15:21:00,63959.88,64072.17,63931.38,64052.46,37.91658,2024-04-14 15:21:00,0.1447626457026896,1.5634803502198035e-05,55.99593025944594,39.17002343312689,39.17002343312689,55.62798422821354,64035.00779880435,True,False,Sell,64065.00600000001,64064.1725,48.99040196290696,0.4379529899476126,0,0,0.0,-94.10000000000582,False,False,2823.825471306918,1041233.1110962987,-1092.9999999993015,151440.00000014785,220.9000000002561,31820.000000006985,16,0.44932896411722156
958,2024-04-14 15:58:00,64151.52,64200.0,64151.51,64157.0,15.96821,2024-04-14 15:58:00,0.00855786559037508,1.5588097606371713e-05,73.13745553769016,64.3570628075827,64.3570628075827,53.0816663189108,64147.5783208449,False,False,Hold,64117.369999999995,64110.328,55.81421965847215,0.5301249152083889,0,0,41.7699999999968,74.5199999999968,False,False,1524.459710404335,-157832.69660911174,1600.0,30380.000000150176,-157.29999999966822,9445.0000001234,16,0.44932896411722156
964,2024-04-14 16:04:00,64281.7,64281.7,64182.83,64255.0,26.00749,2024-04-14 16:04:00,-0.041520376953374516,1.5556529386146056e-05,73.96917205807857,85.18830279707636,85.18830279707636,89.77912858129406,64262.15555450071,False,True,Buy,64257.691999999995,64157.042,72.22426245562447,0.6010641116566786,0,0,0.6699999999982538,0.0,False,False,-1157.7930390492838,-244518.4226854326,1480.5999999996857,-101320.00000005064,744.0000000002328,-16079.999999928987,16,0.44932896411722156
967,2024-04-14 16:07:00,64281.62,64353.66,64272.75,64349.13,31.46581,2024-04-14 16:07:00,0.10502224430559703,0.0,98.6936209482045,90.87235208018076,90.87235208018076,85.47884885995063,64325.585127434824,False,False,Hold,64297.19,64183.7675,83.39428150693269,0.5740605611365489,0,0,26.630000000004657,-36.89999999999418,False,False,3809.640407124243,475921.9794408273,1362.0000000009895,57580.00000016182,1023.4000000004016,39465.000000054715,16,0.44932896411722156
974,2024-04-14 16:14:00,64301.52,64363.64,64301.51,64349.73,15.50143,2024-04-14 16:14:00,0.07497489950472058,0.0,79.05831083321539,73.56514259182332,73.56514259182332,73.64284889092797,64335.181732255325,False,False,Hold,64323.492000000006,64262.993500000004,65.29942989758324,0.5179243074593916,0,0,-22.19000000000233,-28.470000000001164,False,False,2353.9591688328073,399175.59164641716,-41.199999999662396,108839.99999998196,1384.0499999998428,26144.99999996042,16,0.44932896411722156
1045,2024-04-14 17:25:00,62751.46,62773.2,62573.66,62699.99,210.18809,2024-04-14 17:25:00,-0.08202199598225102,0.0,7.424930793508695,5.944882315914683,5.944882315914683,4.312915702866838,62744.270116253276,False,True,Buy,62865.562,63684.105,11.688801210098092,0.6600654614650507,0,0,-759.989999999998,0.0,False,False,-7164.67331235981,326466.39975915605,-12613.39999999982,338980.00000008324,-8974.900000000343,-44720.000000015716,16,0.44932896411722156
1072,2024-04-14 17:52:00,63878.79,63909.1,63807.61,63879.94,53.76182,2024-04-14 17:52:00,0.0018159395029249126,1.56546508903853e-05,62.07959931287144,60.90435184885845,60.90435184885845,49.02894701817914,63879.29617738837,True,False,Sell,63849.206000000006,63859.5855,51.49173784852252,0.6602594438371014,0,0,0.0,-72.86000000000058,False,False,104.17268683449947,1913.6994697328191,-1212.9999999990105,-21539.999999877182,-364.6500000002561,-35325.00000001164,16,0.44932896411722156
1080,2024-04-14 18:00:00,63868.57,63937.0,63848.48,63936.99,26.89641,2024-04-14 18:00:00,0.10711056986079104,-1.565715098415726e-05,80.11130309898263,68.25429566930613,68.25429566930613,59.09572899791451,63905.47379380622,True,False,Sell,63858.904,63871.013,50.348066621538955,0.6359748074749478,0,0,0.0,17.19999999999709,False,False,5099.429281798803,281792.0615860203,4740.400000000227,376759.99999999476,220.1999999997497,34630.00000003376,16,0.44932896411722156
1134,2024-04-14 18:54:00,64468.88,64497.0,64466.95,64497.0,5.14671,2024-04-14 18:54:00,0.04363346216553765,1.5511362297433334e-05,73.43225224321993,54.12096550966434,54.12096550966434,45.368216891982684,64482.71581546596,True,False,Sell,64455.231999999996,64489.2705,47.571455066251865,0.5372176215994275,0,0,0.0,-1.6900000000023283,False,False,2311.2296077648352,81188.15491849091,1878.8000000000466,71060.00000007043,-769.0000000002328,-80025.00000002328,16,0.44932896411722156
1139,2024-04-14 18:59:00,64368.53,64412.38,64368.53,64397.67,11.04503,2024-04-14 18:59:00,0.04525502675685189,-1.553553956954324e-05,24.189577349198004,18.91736002788352,18.91736002788352,23.220526858145206,64392.06331197194,False,False,Hold,64402.61,64447.137,47.39856101022933,0.5020135397428703,0,0,-25.410000000003492,-28.4800000000032,False,False,907.1811793706729,324548.30270507955,-1986.6000000001804,1999.9999999708962,-773.1500000001688,-11400.000000066939,16,0.44932896411722156
1157,2024-04-14 19:17:00,64084.76,64109.76,64076.4,64109.59,23.33728,2024-04-14 19:17:00,0.03872995096962928,-1.560433156701867e-05,47.35465906003653,35.269577125031084,35.269577125031084,24.174106389183986,64098.85927790547,True,False,Sell,64107.148,64205.6675,34.095945502297695,0.5606405593483701,0,0,0.0,-12.37999999999738,False,False,1736.2673072777397,120662.08433469001,-2148.200000000361,-30360.00000007334,-1437.1500000001106,10864.999999903375,16,0.44932896411722156
1162,2024-04-14 19:22:00,64103.08,64156.99,64087.2,64096.4,15.88256,2024-04-14 19:22:00,-0.010420716134074137,0.0,46.86189362728794,42.05050167637934,42.05050167637934,43.47078400079238,64094.5429167767,False,False,Hold,64094.04,64140.9115,46.65589179763123,0.5180593808136844,0,0,52.25,-7.360000000000582,False,False,300.4823775248951,-156703.7404338771,-263.79999999990105,-63000.00000010186,-673.9499999988766,40860.000000247965,16,0.44932896411722156
1222,2024-04-14 20:22:00,64085.94,64085.95,64007.93,64047.54,26.13686,2024-04-14 20:22:00,-0.05993513398802053,-1.5604044248015847e-05,28.257435450485094,36.353141198035665,36.353141198035665,40.70184673083417,64066.41898489097,False,False,Hold,64094.478,64148.55,29.0736793018455,0.516237603188372,0,0,-4.569999999999709,-22.529999999998836,False,False,-3054.6839226684824,-127228.61390226171,-776.5999999988708,-32619.99999980617,-919.0000000002328,-43970.00000011758,16,0.44932896411722156
1246,2024-04-14 20:46:00,64047.48,64047.48,63894.96,63929.6,69.66443,2024-04-14 20:46:00,-0.18403537251354685,1.5613419237383254e-05,10.539767540923462,12.500017557769487,12.500017557769487,18.715212913011232,63984.28337554997,False,False,Hold,64062.43000000001,64129.13049999999,22.755446597900914,0.6055015627164723,0,0,-64.0399999999936,-71.22999999999593,False,False,-8847.956025941676,-475547.3044455721,-3781.9999999992433,-173139.99999983935,-876.3500000015483,-46610.0000001461,16,0.44932896411722156
